Component,File,Input,Classification,Type,Line,Maps to DB,Snippet
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/discord/server.ts,DISCORD_STATE_DIR,Config,Env Variable (Node),37,No,"const STATE_DIR = process.env.DISCORD_STATE_DIR ?? join(homedir(), '.claude', 'channels', 'discord')"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/discord/server.ts,token,Sensitive,Auth Token,43,No,// Plugin-spawned servers don't get an env block — this is where the token lives.
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/discord/server.ts,DISCORD_BOT_TOKEN,Sensitive,Env Variable (Node),53,No,const TOKEN = process.env.DISCORD_BOT_TOKEN
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/discord/server.ts,DISCORD_ACCESS_MODE,Config,Env Variable (Node),54,No,const STATIC = process.env.DISCORD_ACCESS_MODE === 'static'
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/discord/server.ts,session,Sensitive,Auth Token,453,No,"'The sender reads Discord, not this session. Anything you want them to see must go through the reply tool — your transcr"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/discord/server.ts,arguments,Volatile,Route Parameter,599,No,"const args = (req.params.arguments ?? {}) as Record<string, unknown>"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/discord/server.ts,name,Persistent,Route Parameter,601,Yes,switch (req.params.name) {
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/discord/server.ts,chat_id,Volatile,GraphQL/RPC Argument,603,No,const chat_id = args.chat_id as string
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/discord/server.ts,text,Volatile,GraphQL/RPC Argument,604,No,const text = args.text as string
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/discord/server.ts,reply_to,Volatile,GraphQL/RPC Argument,605,No,const reply_to = args.reply_to as string | undefined
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/discord/server.ts,files,Volatile,GraphQL/RPC Argument,606,No,const files = (args.files as string[] | undefined) ?? []
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/discord/server.ts,channel,Volatile,GraphQL/RPC Argument,655,No,const ch = await fetchAllowedChannel(args.channel as string)
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/discord/server.ts,limit,Volatile,GraphQL/RPC Argument,656,No,"const limit = Math.min((args.limit as number) ?? 20, 100)"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/discord/server.ts,chat_id,Volatile,GraphQL/RPC Argument,678,No,const ch = await fetchAllowedChannel(args.chat_id as string)
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/discord/server.ts,message_id,Volatile,GraphQL/RPC Argument,679,No,const msg = await ch.messages.fetch(args.message_id as string)
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/discord/server.ts,emoji,Volatile,GraphQL/RPC Argument,680,No,await msg.react(args.emoji as string)
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/discord/server.ts,chat_id,Volatile,GraphQL/RPC Argument,684,No,const ch = await fetchAllowedChannel(args.chat_id as string)
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/discord/server.ts,message_id,Volatile,GraphQL/RPC Argument,685,No,const msg = await ch.messages.fetch(args.message_id as string)
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/discord/server.ts,text,Volatile,GraphQL/RPC Argument,686,No,const edited = await msg.edit(args.text as string)
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/discord/server.ts,chat_id,Volatile,GraphQL/RPC Argument,690,No,const ch = await fetchAllowedChannel(args.chat_id as string)
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/discord/server.ts,message_id,Volatile,GraphQL/RPC Argument,691,No,const msg = await ch.messages.fetch(args.message_id as string)
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/discord/server.ts,name,Persistent,Route Parameter,707,Yes,"content: [{ type: 'text', text: `unknown tool: ${req.params.name}` }],"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/discord/server.ts,name,Persistent,Route Parameter,714,Yes,"content: [{ type: 'text', text: `${req.params.name} failed: ${msg}` }],"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/fakechat/server.ts,token,Sensitive,Auth Token,6,No,"* no tokens, no access control."
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/fakechat/server.ts,FAKECHAT_PORT,Config,Env Variable (Node),20,No,const PORT = Number(process.env.FAKECHAT_PORT ?? 8787)
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/fakechat/server.ts,session,Sensitive,Auth Token,63,No,"instructions: `The sender reads the fakechat UI, not this session. Anything you want them to see must go through the rep"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/fakechat/server.ts,arguments,Volatile,Route Parameter,95,No,"const args = (req.params.arguments ?? {}) as Record<string, unknown>"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/fakechat/server.ts,name,Persistent,Route Parameter,97,Yes,switch (req.params.name) {
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/fakechat/server.ts,text,Volatile,GraphQL/RPC Argument,99,No,const text = args.text as string
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/fakechat/server.ts,reply_to,Volatile,GraphQL/RPC Argument,100,No,const replyTo = args.reply_to as string | undefined
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/fakechat/server.ts,files,Volatile,GraphQL/RPC Argument,101,No,const files = (args.files as string[] | undefined) ?? []
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/fakechat/server.ts,message_id,Volatile,GraphQL/RPC Argument,122,No,"broadcast({ type: 'edit', id: args.message_id as string, text: args.text as string })"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/fakechat/server.ts,text,Volatile,GraphQL/RPC Argument,122,No,"broadcast({ type: 'edit', id: args.message_id as string, text: args.text as string })"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/fakechat/server.ts,name,Persistent,Route Parameter,126,Yes,"return { content: [{ type: 'text', text: `unknown: ${req.params.name}` }], isError: true }"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/fakechat/server.ts,name,Persistent,Route Parameter,129,Yes,"return { content: [{ type: 'text', text: `${req.params.name}: ${err instanceof Error ? err.message : err}` }], isError: "
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/imessage/server.ts,IMESSAGE_ACCESS_MODE,Config,Env Variable (Node),33,No,const STATIC = process.env.IMESSAGE_ACCESS_MODE === 'static'
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/imessage/server.ts,IMESSAGE_APPEND_SIGNATURE,Config,Env Variable (Node),34,No,const APPEND_SIGNATURE = process.env.IMESSAGE_APPEND_SIGNATURE !== 'false'
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/imessage/server.ts,IMESSAGE_ALLOW_SMS,Config,Env Variable (Node),38,No,const ALLOW_SMS = process.env.IMESSAGE_ALLOW_SMS === 'true'
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/imessage/server.ts,IMESSAGE_DB_PATH,Config,Env Variable (Node),41,No,"process.env.IMESSAGE_DB_PATH ?? join(homedir(), 'Library', 'Messages', 'chat.db')"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/imessage/server.ts,IMESSAGE_STATE_DIR,Config,Env Variable (Node),43,No,"const STATE_DIR = process.env.IMESSAGE_STATE_DIR ?? join(homedir(), '.claude', 'channels', 'imessage')"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/imessage/server.ts,session,Sensitive,Auth Token,558,No,"'The sender reads iMessage, not this session. Anything you want them to see must go through the reply tool — your transc"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/imessage/server.ts,arguments,Volatile,Route Parameter,656,No,"const args = (req.params.arguments ?? {}) as Record<string, unknown>"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/imessage/server.ts,name,Persistent,Route Parameter,658,Yes,switch (req.params.name) {
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/imessage/server.ts,chat_id,Volatile,GraphQL/RPC Argument,660,No,const chat_id = args.chat_id as string
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/imessage/server.ts,text,Volatile,GraphQL/RPC Argument,661,No,const text = args.text as string
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/imessage/server.ts,files,Volatile,GraphQL/RPC Argument,662,No,const files = (args.files as string[] | undefined) ?? []
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/imessage/server.ts,chat_guid,Volatile,GraphQL/RPC Argument,697,No,const guid = args.chat_guid as string | undefined
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/imessage/server.ts,limit,Volatile,GraphQL/RPC Argument,698,No,"const limit = Math.min((args.limit as number) ?? 100, 500)"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/imessage/server.ts,name,Persistent,Route Parameter,720,Yes,"content: [{ type: 'text', text: `unknown tool: ${req.params.name}` }],"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/imessage/server.ts,name,Persistent,Route Parameter,727,Yes,"content: [{ type: 'text', text: `${req.params.name} failed: ${msg}` }],"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,TELEGRAM_STATE_DIR,Config,Env Variable (Node),26,No,"const STATE_DIR = process.env.TELEGRAM_STATE_DIR ?? join(homedir(), '.claude', 'channels', 'telegram')"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,token,Sensitive,Auth Token,32,No,// Plugin-spawned servers don't get an env block — this is where the token lives.
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,TELEGRAM_BOT_TOKEN,Sensitive,Env Variable (Node),42,No,const TOKEN = process.env.TELEGRAM_BOT_TOKEN
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,TELEGRAM_ACCESS_MODE,Config,Env Variable (Node),43,No,const STATIC = process.env.TELEGRAM_ACCESS_MODE === 'static'
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,session,Sensitive,Auth Token,369,No,"'The sender reads Telegram, not this session. Anything you want them to see must go through the reply tool — your transc"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,arguments,Volatile,Route Parameter,491,No,"const args = (req.params.arguments ?? {}) as Record<string, unknown>"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,name,Persistent,Route Parameter,493,Yes,switch (req.params.name) {
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,chat_id,Volatile,GraphQL/RPC Argument,495,No,const chat_id = args.chat_id as string
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,text,Volatile,GraphQL/RPC Argument,496,No,const text = args.text as string
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,reply_to,Volatile,GraphQL/RPC Argument,497,No,const reply_to = args.reply_to != null ? Number(args.reply_to) : undefined
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,files,Volatile,GraphQL/RPC Argument,498,No,const files = (args.files as string[] | undefined) ?? []
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,format,Volatile,GraphQL/RPC Argument,499,No,const format = (args.format as string | undefined) ?? 'text'
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,chat_id,Volatile,GraphQL/RPC Argument,562,No,assertAllowedChat(args.chat_id as string)
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,chat_id,Volatile,GraphQL/RPC Argument,563,No,"await bot.api.setMessageReaction(args.chat_id as string, Number(args.message_id), ["
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,message_id,Volatile,GraphQL/RPC Argument,563,No,"await bot.api.setMessageReaction(args.chat_id as string, Number(args.message_id), ["
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,emoji,Volatile,GraphQL/RPC Argument,564,No,"{ type: 'emoji', emoji: args.emoji as ReactionTypeEmoji['emoji'] },"
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,file_id,Volatile,GraphQL/RPC Argument,569,No,const file_id = args.file_id as string
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,chat_id,Volatile,GraphQL/RPC Argument,587,No,assertAllowedChat(args.chat_id as string)
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,format,Volatile,GraphQL/RPC Argument,588,No,const editFormat = (args.format as string | undefined) ?? 'text'
.claude-config,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,chat_id,Volatile,GraphQL/RPC Argument,591,No,"args.chat_id as string,"
